,url,publication_dt,byline,book_title,book_author,summary,uuid,uri,isbn13
0,http://www.nytimes.com/2013/08/25/books/review/bully-by-laura-vaccaro-seeger-and-more.html,2013-08-25,BECCA ZERKIN,SEA MONSTER AND THE BOSSY FISH,Kate Messner,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781452112534']
0,http://www.nytimes.com/2003/10/12/books/science-fiction.html,2003-10-12,GERALD JONAS,The Pixel Eye (Phil D'Amato),Paul Levinson,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780765305565']
0,http://www.nytimes.com/2000/05/14/books/books-in-brief-children-s-books-113980.html,2000-05-14,ANNE SCOTT MACLEOD,Adaline Falling Star,Mary Pope Osborne,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780613537889']
1,http://www.nytimes.com/1991/12/22/books/children-s-books-bookshelf-212391.html,1991-12-22,,American Tall Tales,Mary Pope Osborne,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780679900894']
0,http://www.nytimes.com/2002/04/21/books/children-s-books-dancing-in-air.html,2002-04-21,LINDA PHILLIPS ASHOUR,Wingwalker,Rosemary Wells,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780786823475']
1,http://www.nytimes.com/1985/11/03/books/bookshelf.html,1985-11-03,,Hazel's Amazing Mother,Rosemary Wells,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780140549119']
2,http://www.nytimes.com/1986/12/07/books/children-s-books-522386.html,1986-12-07,ELIZABETH CROW,Max's Christmas (Max & Ruby),Rosemary Wells,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780803702899', '9780803702905']"
0,http://www.nytimes.com/2008/05/18/books/review/Crime-t.html,2008-05-18,,Severance Package,Duane Swierczynski,"In Donna Leon’s latest mystery, the body of a golden-haired Gypsy child is fished out of a canal. Also reviewed: new crime fiction from Duane Swierczynski, Stephen Anable and Elaine Viets.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780312343804']
1,http://www.nytimes.com/2011/06/19/books/review/crime-novels-by-peter-lovesey-marcus-sakey-elizabeth-brundage-and-duane-swierczynski.html,2011-06-19,MARILYN STASIO,Fun and Games (Charlie Hardie #1),Duane Swierczynski,"Mystery novels by Peter Lovesey, Marcus Sakey, Elizabeth Brundage and Duane Swierczynski.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780316133289']
0,http://www.nytimes.com/1989/04/02/books/she-made-a-man-of-him.html,1989-04-02,THOMAS FLEMING,Loving Women : A Novel of the Fifties,Pete Hamill,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780517056332']
1,http://www.nytimes.com/1999/11/21/books/books-in-brief-nonfiction-a-unifying-art.html,1999-11-21,CAROLYN T. HUGHES,Diego Rivera,Pete Hamill,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780810932340']
2,http://www.nytimes.com/1998/11/23/books/book-review-yes-tough-guys-dance-and-sing-blues-in-the-night.html,1998-11-23,CHRISTOPHER LEHMANN-HAUPT,Why Sinatra Matters,Pete Hamill,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780316347969']
